DronV2:Dron1_X,DronV2:Dron1_Y,DronV2:Dron1_Z,DronV2:Dron4_X,DronV2:Dron4_Y,DronV2:Dron4_Z,DronV2:Dron2_X,DronV2:Dron2_Y,DronV2:Dron2_Z,DronV2:Dron3_X,DronV2:Dron3_Y,DronV2:Dron3_Z,Dron1:dron11_X,Dron1:dron11_Y,Dron1:dron11_Z,Dron1:dron12_X,Dron1:dron12_Y,Dron1:dron12_Z,Dron1:dron13_X,Dron1:dron13_Y,Dron1:dron13_Z,Dron1:dron14_X,Dron1:dron14_Y,Dron1:dron14_Z,Dron1:dron15_X,Dron1:dron15_Y,Dron1:dron15_Z
2.49645E12,2.28702896E11,6.0025156E-37,1.45865824E13,9.5905704E11,3.61215662E12,9.42855E-40,2.3877952E-38,0.0,5.0681168E7,825.0839,3220.3982,0.5078279,4.3E-44,12.187755,3.32124258E12,1.5050584E-36,-131072.0,804341.5,3.3547265E12,1.5521017E-34,2.5530268E-38,804341.56,3.3547265E12,3.7618115E-37,2.5530268E-38,804341.6
181.72063,-1693.4285,984.2299,170.94316,-1870.7445,999.9893,220.1399,-1714.2769,986.4403,100.345,-1705.558,987.28467,304.41333,91.01321,219.75848,220.90181,34.497433,220.55583,371.84976,27.717743,219.78294,298.0397,-59.08577,221.11508,301.5951,31.062689,254.89856
181.70842,-1693.4703,984.168,170.92622,-1870.7983,999.9466,220.12459,-1714.3229,986.37897,100.33381,-1705.6163,987.2242,304.4116,91.01756,219.76146,220.90593,34.50402,220.54463,371.853,27.721687,219.78299,298.03513,-59.07671,221.12405,301.59598,31.068138,254.89967
181.69698,-1693.5099,984.10736,170.90988,-1870.8514,999.9039,220.10994,-1714.3689,986.31854,100.32295,-1705.6738,987.1643,304.41,91.02145,219.7644,220.9096,34.51,220.53424,371.85608,27.725111,219.78296,298.0306,-59.06905,221.13309,301.5967,31.073086,254.9008
181.68631,-1693.5474,984.0479,170.89412,-1870.9038,999.8612,220.09596,-1714.4148,986.25903,100.31242,-1705.7305,987.1051,304.4086,91.02486,219.7673,220.91284,34.515366,220.52463,371.85895,27.728016,219.78287,298.02615,-59.062782,221.14218,301.59735,31.077526,254.90196
181.67642,-1693.5825,983.9897,170.87894,-1870.9556,999.8186,220.08264,-1714.4607,986.2004,100.302216,-1705.7864,987.0465,304.40735,91.02779,219.77017,220.91566,34.520123,220.5158,371.8616,27.730398,219.7827,298.02173,-59.057903,221.15134,301.5979,31.081459,254.90315
181.6673,-1693.6155,983.9327,170.86435,-1871.0065,999.77594,220.06999,-1714.5065,986.14264,100.29234,-1705.8413,986.98865,304.40628,91.03024,219.773,220.91805,34.524265,220.50775,371.86407,27.732258,219.78247,298.0174,-59.0544,221.16052,301.59836,31.08488,254.90437
181.65894,-1693.6462,983.87695,170.85034,-1871.0568,999.73334,220.058,-1714.5522,986.08575,100.2828,-1705.8955,986.9314,304.40536,91.032234,219.77577,220.92003,34.527798,220.50049,371.86636,27.733599,219.78218,298.0131,-59.05226,221.16975,301.59872,31.087786,254.90561
181.65134,-1693.6747,983.8224,170.83691,-1871.1064,999.6908,220.04668,-1714.598,986.02985,100.27358,-1705.9489,986.8749,304.40463,91.03377,219.77849,220.92162,34.53073,220.49397,371.8684,27.734428,219.78185,298.00885,-59.051456,221.17897,301.59903,31.090166,254.90688
181.6445,-1693.7009,983.7691,170.82407,-1871.1553,999.64825,220.03601,-1714.6437,985.97473,100.2647,-1706.0013,986.819,304.40402,91.03485,219.78114,220.92284,34.533077,220.48819,371.8703,27.734758,219.78145,298.00473,-59.051937,221.18819,301.59927,31.092018,254.90814
181.6384,-1693.7249,983.7171,170.81181,-1871.2035,999.6057,220.02602,-1714.6892,985.9206,100.25615,-1706.053,986.76373,304.40356,91.0355,219.78372,220.9237,34.534847,220.48314,371.87198,27.734606,219.78104,298.00067,-59.053658,221.19736,301.59946,31.093338,254.90942
181.63303,-1693.7466,983.6663,170.80014,-1871.251,999.56323,220.01668,-1714.7347,985.8673,100.24793,-1706.1038,986.7092,304.40326,91.03576,219.7862,220.92422,34.536076,220.47876,371.87347,27.733992,219.78058,297.99673,-59.056545,221.20647,301.59964,31.094133,254.9107
181.62837,-1693.7659,983.6169,170.78905,-1871.2979,999.5208,220.008,-1714.7802,985.8149,100.24006,-1706.1538,986.65533,304.40308,91.03564,219.78856,220.92442,34.536793,220.47502,371.87482,27.732933,219.78009,297.99292,-59.06051,221.21548,301.5998,31.094408,254.91194
181.62442,-1693.7828,983.5687,170.77855,-1871.3439,999.47845,219.99998,-1714.8256,985.7634,100.23252,-1706.203,986.60223,304.403,91.03517,219.7908,220.92433,34.53703,220.47188,371.876,27.731455,219.77959,297.98932,-59.065456,221.22435,301.59998,31.094181,254.91315
181.62115,-1693.7975,983.5219,170.76863,-1871.3893,999.43616,219.99265,-1714.8707,985.7129,100.22533,-1706.2513,986.54974,304.40305,91.0344,219.79291,220.92397,34.536835,220.46928,371.877,27.729576,219.77907,297.9859,-59.071266,221.23303,301.60016,31.093472,254.91428
181.61852,-1693.8096,983.47644,170.75931,-1871.434,999.3939,219.98596,-1714.9159,985.6632,100.21848,-1706.2988,986.49805,304.40317,91.033356,219.79486,220.92332,34.536247,220.4672,371.8779,27.727318,219.77855,297.98273,-59.07781,221.24147,301.60037,31.092304,254.91534
181.61652,-1693.8192,983.4324,170.75056,-1871.4779,999.3518,219.97997,-1714.9609,985.6145,100.21199,-1706.3455,986.4471,304.40338,91.032074,219.79663,220.92245,34.535316,220.46555,371.87866,27.7247,219.77802,297.97986,-59.08494,221.2496,301.60065,31.090714,254.91629
181.61511,-1693.8264,983.3898,170.74243,-1871.5211,999.30975,219.97462,-1715.0059,985.5667,100.20586,-1706.3914,986.39685,304.40363,91.030594,219.79823,220.92137,34.534092,220.4643,371.87927,27.721745,219.7775,297.97733,-59.09252,221.25739,301.60098,31.088737,254.91713
181.61426,-1693.8309,983.3486,170.73488,-1871.5636,999.2679,219.96997,-1715.0505,985.51984,100.20009,-1706.4364,986.3474,304.40396,91.028946,219.79964,220.92009,34.53262,220.46336,371.8798,27.718468,219.77698,297.97513,-59.1004,221.26476,301.60135,31.08641,254.91785
181.61394,-1693.833,983.3089,170.72794,-1871.6055,999.2262,219.966,-1715.0951,985.474,100.194695,-1706.4806,986.29877,304.40433,91.02716,219.80086,220.91862,34.530945,220.46274,371.88022,27.714893,219.7765,297.9734,-59.10843,221.27167,301.6018,31.083778,254.91844
181.6141,-1693.8325,983.2707,170.7216,-1871.6465,999.18463,219.9627,-1715.1394,985.429,100.18969,-1706.5239,986.2509,304.40475,91.02528,219.8019,220.917,34.529118,220.46236,371.88052,27.711039,219.77608,297.97208,-59.116474,221.2781,301.60233,31.080885,254.9189
181.61472,-1693.8296,983.234,170.71587,-1871.6868,999.1433,219.96011,-1715.1836,985.38513,100.18507,-1706.5665,986.204,304.4052,91.02334,219.80275,220.91527,34.527176,220.46217,371.88074,27.706928,219.77574,297.97125,-59.12441,221.28403,301.60287,31.077774,254.91925
181.61574,-1693.824,983.1989,170.71075,-1871.7263,999.10223,219.95822,-1715.2274,985.34216,100.180855,-1706.6083,986.15796,304.40573,91.021355,219.80344,220.9134,34.525158,220.46217,371.88083,27.702587,219.77553,297.97092,-59.132114,221.28943,301.60355,31.07449,254.91951
181.61714,-1693.8162,983.1654,170.70628,-1871.765,999.06146,219.95702,-1715.2711,985.30023,100.177055,-1706.6492,986.1128,304.40625,91.019356,219.80399,220.91148,34.52309,220.46231,371.88083,27.698044,219.77545,297.9711,-59.139484,221.29433,301.60425,31.071074,254.9197
181.61888,-1693.8059,983.1334,170.70244,-1871.803,999.02094,219.95654,-1715.3145,985.25934,100.173676,-1706.6892,986.06866,304.40683,91.01738,219.80443,220.9095,34.521008,220.46255,371.88074,27.693338,219.77554,297.97177,-59.146427,221.2987,301.60507,31.067564,254.91985
181.62093,-1693.7935,983.10297,170.69923,-1871.8401,998.9808,219.95679,-1715.3574,985.2195,100.17075,-1706.7284,986.02545,304.40744,91.01544,219.80478,220.9075,34.518932,220.46292,371.88055,27.688515,219.77583,297.9729,-59.15287,221.3026,301.60596,31.064003,254.91998
181.62326,-1693.779,983.0741,170.69667,-1871.8765,998.94104,219.95776,-1715.4,985.18066,100.16828,-1706.7668,985.98334,304.40808,91.013565,219.80508,220.90553,34.516888,220.46338,371.8803,27.683626,219.77632,297.97452,-59.158756,221.30602,301.60696,31.060421,254.92014
181.62582,-1693.7627,983.0467,170.6948,-1871.9119,998.9017,219.95949,-1715.4424,985.143,100.16629,-1706.8043,985.9423,304.40878,91.01177,219.80537,220.90361,34.514896,220.46393,371.88004,27.678736,219.77704,297.9765,-59.16405,221.30904,301.60806,31.056852,254.92035
181.62862,-1693.7449,983.0207,170.69359,-1871.9465,998.86285,219.96196,-1715.4841,985.1064,100.164795,-1706.8411,985.90247,304.40952,91.010086,219.8057,220.9018,34.512978,220.46458,371.87976,27.67392,219.77797,297.97888,-59.168728,221.31169,301.60928,31.053324,254.92065
181.63159,-1693.7256,982.99615,170.69307,-1871.9803,998.8245,219.96521,-1715.5256,985.071,100.163826,-1706.8768,985.8638,304.41034,91.008514,219.80608,220.9001,34.511147,220.46535,371.87955,27.669256,219.77911,297.98154,-59.172787,221.31403,301.61063,31.04986,254.9211
181.63477,-1693.7053,982.97296,170.69327,-1872.0133,998.78674,219.96922,-1715.5665,985.0367,100.1634,-1706.9119,985.8263,304.4112,91.00707,219.80658,220.89859,34.509426,220.46623,371.87946,27.664837,219.78046,297.98444,-59.176235,221.31613,301.6121,31.046486,254.92168
