new_x,new_y,new_z,old_x,old_y,old_z,,,,,,,,,,,,
180.3370757575758,-1712.0904681818183,986.4186971212123,180.59646676971684,-1711.9237616282753,985.8737123243511,181.72063,-1693.4285,984.2299,170.94316,-1870.7445,999.9893,220.1399,-1714.2769,986.4403,100.345,-1705.558,987.28467
180.32363045454548,-1712.1377181818184,986.3581760606062,180.5836344633017,-1711.9689338271996,985.8140036977006,181.70842,-1693.4703,984.168,170.92622,-1870.7983,999.9466,220.12459,-1714.3229,986.37897,100.33381,-1705.6163,987.2242
180.31081742424243,-1712.1839787878791,986.2985800000001,180.57143367254815,-1712.0140460661162,985.7556007304509,181.69698,-1693.5099,984.10736,170.90988,-1870.8514,999.9039,220.10994,-1714.3689,986.31854,100.32295,-1705.6738,987.1643
180.29863969696973,-1712.2292469696972,986.2399133333336,180.55987346063844,-1712.0590023207174,985.6984156903173,181.68631,-1693.5474,984.0479,170.89412,-1870.9038,999.8612,220.09596,-1714.4148,986.25903,100.31242,-1705.7305,987.1051
180.28709618181819,-1712.273457575758,986.1821742424243,180.54894148889645,-1712.10389190791,985.6425620200646,181.67642,-1693.5825,983.9897,170.87894,-1870.9556,999.8186,220.08264,-1714.4607,986.2004,100.302216,-1705.7864,987.0465
180.27618803030305,-1712.3166272727276,986.1253592424243,180.53864995866567,-1712.148619146376,985.587939863266,181.6673,-1693.6155,983.9327,170.86435,-1871.0065,999.77594,220.06999,-1714.5065,986.14264,100.29234,-1705.8413,986.98865
180.2659087878788,-1712.3587560606065,986.0694624242425,180.52897971682262,-1712.1931840510952,985.5346199049434,181.65894,-1693.6462,983.87695,170.85034,-1871.0568,999.73334,220.058,-1714.5522,986.08575,100.2828,-1705.8955,986.9314
180.25625924242428,-1712.3999348484851,986.0145424242426,180.51992261480694,-1712.237796720249,985.4825692031109,181.65134,-1693.6747,983.8224,170.83691,-1871.1064,999.6908,220.04668,-1714.598,986.02985,100.27358,-1705.9489,986.8749
180.24723590909093,-1712.4400090909094,985.9605019696971,180.51148723818628,-1712.2822410224912,985.4318139214203,181.6445,-1693.7009,983.7691,170.82407,-1871.1553,999.64825,220.03601,-1714.6437,985.97473,100.2647,-1706.0013,986.819
180.23884090909092,-1712.479034848485,985.9074483333335,180.50366513307063,-1712.3264315583033,985.3823841205489,181.6384,-1693.7249,983.7171,170.81181,-1871.2035,999.6057,220.02602,-1714.6892,985.9206,100.25615,-1706.053,986.76373
180.23105924242424,-1712.5170151515154,985.8553074242426,180.49643072934364,-1712.370565680284,985.3342241683129,181.63303,-1693.7466,983.6663,170.80014,-1871.251,999.56323,220.01668,-1714.7347,985.8673,100.24793,-1706.1038,986.7092
180.2238910606061,-1712.553937878788,985.8041619696971,180.48976054595514,-1712.4146356767299,985.287515029004,181.62837,-1693.7659,983.6169,170.78905,-1871.2979,999.5208,220.008,-1714.7802,985.8149,100.24006,-1706.1538,986.65533
180.2173328787879,-1712.58975,985.7539627272729,180.48365869369832,-1712.4585569825529,985.2420767962305,181.62442,-1693.7828,983.5687,170.77855,-1871.3439,999.47845,219.99998,-1714.8256,985.7634,100.23252,-1706.203,986.60223
180.2113890909091,-1712.6244393939396,985.7047893939394,180.4781222042464,-1712.5021293117095,985.198049090612,181.62115,-1693.7975,983.5219,170.76863,-1871.3893,999.43616,219.99265,-1714.8707,985.7129,100.22533,-1706.2513,986.54974
180.2060243939394,-1712.6580333333336,985.6565774242425,180.47307049083045,-1712.545749480168,985.1554430530974,181.61852,-1693.8096,983.47644,170.75931,-1871.434,999.3939,219.98596,-1714.9159,985.6632,100.21848,-1706.2988,986.49805
180.20126136363638,-1712.6904454545456,985.6094287878789,180.4685142385245,-1712.589121035624,985.1143096443603,181.61652,-1693.8192,983.4324,170.75056,-1871.4779,999.3518,219.97997,-1714.9609,985.6145,100.21199,-1706.3455,986.4471
180.19706409090912,-1712.7217954545458,985.5632984848487,180.46441604757968,-1712.6324548702933,985.0746642825719,181.61511,-1693.8264,983.3898,170.74243,-1871.5211,999.30975,219.97462,-1715.0059,985.5667,100.20586,-1706.3914,986.39685
180.1934434848485,-1712.7517969696974,985.5182142424244,180.4607525943482,-1712.6753548932463,985.0364747173821,181.61426,-1693.8309,983.3486,170.73488,-1871.5636,999.2679,219.96997,-1715.0505,985.51984,100.20009,-1706.4364,986.3474
180.1903850757576,-1712.780740909091,985.4742456060608,180.45749224223107,-1712.7182295625555,984.999835687556,181.61394,-1693.833,983.3089,170.72794,-1871.6055,999.2262,219.966,-1715.0951,985.474,100.194695,-1706.4806,986.29877
180.18786924242426,-1712.8084030303032,985.4313089393941,180.45459524399664,-1712.7607697896706,984.9647351178982,181.6141,-1693.8325,983.2707,170.7216,-1871.6465,999.18463,219.9627,-1715.1394,985.429,100.18969,-1706.5239,986.2509
180.18590393939397,-1712.8349833333336,985.389564848485,180.45204306525565,-1712.8032040149387,984.9311860478792,181.61472,-1693.8296,983.234,170.71587,-1871.6868,999.1433,219.96011,-1715.1836,985.38513,100.18507,-1706.5665,986.204
180.18446734848487,-1712.8602303030307,985.3489383333335,180.4497843826904,-1712.845217444243,984.8992754196407,181.61574,-1693.824,983.1989,170.71075,-1871.7263,999.10223,219.95822,-1715.2274,985.34216,100.180855,-1706.6083,986.15796
180.18355204545458,-1712.8844242424243,985.3094903030304,180.4478134598975,-1712.8871306708536,984.8689948441335,181.61714,-1693.8162,983.1654,170.70628,-1871.765,999.06146,219.95702,-1715.2711,985.30023,100.177055,-1706.6492,986.1128
180.1831555757576,-1712.9073818181819,985.2712096969699,180.44608826931778,-1712.9287575401333,984.8402545728171,181.61888,-1693.8059,983.1334,170.70244,-1871.803,999.02094,219.95654,-1715.3145,985.25934,100.173676,-1706.6892,986.06866
180.1832772727273,-1712.9291803030305,985.2341140909093,180.44461527285986,-1712.969895405223,984.8130815452748,181.62093,-1693.7935,983.10297,170.69923,-1871.8401,998.9808,219.95679,-1715.3574,985.2195,100.17075,-1706.7284,986.02545
180.18390378787882,-1712.9499075757578,985.1982136363638,180.44335872699565,-1713.0107518062719,984.7874820070748,181.62326,-1693.779,983.0741,170.69667,-1871.8765,998.94104,219.95776,-1715.4,985.18066,100.16828,-1706.7668,985.98334
180.18503924242427,-1712.969678787879,985.1635424242425,180.44228504686174,-1713.0514585123456,984.7633693210704,181.62582,-1693.7627,983.0467,170.6948,-1871.9119,998.9017,219.95949,-1715.4424,985.143,100.16629,-1706.8043,985.9423
180.18668098484852,-1712.9884545454547,985.1300584848486,180.44144899724094,-1713.091511044073,984.7406167356065,181.62862,-1693.7449,983.0207,170.69359,-1871.9465,998.86285,219.96196,-1715.4841,985.1064,100.164795,-1706.8411,985.90247
180.1888267878788,-1713.0063530303032,985.0978257575758,180.4407600306558,-1713.131428113534,984.7193148838479,181.63159,-1693.7256,982.99615,170.69307,-1871.9803,998.8245,219.96521,-1715.5256,985.071,100.163826,-1706.8768,985.8638
180.19148803030305,-1713.0234969696971,985.0667781818182,180.44030927552507,-1713.1708123026713,984.6993173655794,181.63477,-1693.7053,982.97296,170.69327,-1872.0133,998.78674,219.96922,-1715.5665,985.0367,100.1634,-1706.9119,985.8263
180.19466224242427,-1713.039890909091,985.0369648484849,180.44003587190343,-1713.2097856587675,984.6805523483782,181.63809,-1693.6842,982.95105,170.69418,-1872.0453,998.7496,219.97404,-1715.6069,985.00366,100.163536,-1706.9459,985.79004
180.1983784545455,-1713.0557045454548,985.0083483333334,180.4400096094796,-1713.2482559624286,984.6628771519255,181.64159,-1693.6627,982.9303,170.69585,-1872.0764,998.71313,219.97968,-1715.6467,984.9718,100.164276,-1706.9791,985.7552
180.2026283636364,-1713.0710909090913,984.9809062121212,180.440204065387,-1713.2863418238733,984.6461838292164,181.64523,-1693.6411,982.9106,170.69827,-1872.1067,998.67737,219.98615,-1715.686,984.9412,100.165634,-1707.0115,985.7217
180.20742254545456,-1713.0862424242428,984.9547163636365,180.44065209328872,-1713.3241555744269,984.6304714468001,181.64902,-1693.6199,982.89197,170.70148,-1872.136,998.6424,219.99344,-1715.7249,984.912,100.167656,-1707.043,985.6896
180.21279818181821,-1713.1010181818183,984.9296345454546,180.44139399331186,-1713.3612996605493,984.6155082178941,181.65297,-1693.5992,982.8742,170.70549,-1872.1643,998.6082,220.00162,-1715.763,984.88403,100.17037,-1707.0735,985.6589
180.2187522727273,-1713.1157060606065,984.9057650000001,180.44246380479424,-1713.3978086643526,984.6012154100492,181.65707,-1693.5797,982.85724,170.71034,-1872.1919,998.57495,220.01067,-1715.8003,984.8575,100.17381,-1707.1031,985.62976
180.22532972727274,-1713.1304848484851,984.8830136363638,180.44386460455925,-1713.4340657371895,984.5875458859102,181.66135,-1693.5614,982.841,170.71605,-1872.2184,998.5426,220.02065,-1715.8372,984.8323,100.178024,-1707.132,985.6021
180.23252715151517,-1713.14536969697,984.8613822727275,180.445649013633,-1713.4697118129711,984.5742647721819,181.6658,-1693.5449,982.8253,170.72266,-1872.2441,998.5112,220.03154,-1715.8733,984.80853,100.183044,-1707.1599,985.57605
180.24040500000004,-1713.1605393939396,984.8409436363637,180.44788887592986,-1713.5048194669987,984.5614638233144,181.67049,-1693.5305,982.81024,170.73016,-1872.2688,998.4809,220.04341,-1715.9087,984.78625,100.18891,-1707.187,985.55164
180.2489763636364,-1713.1760363636365,984.8215924242425,180.45060269736283,-1713.539435048387,984.5488688605191,181.67542,-1693.5184,982.79553,170.73863,-1872.2927,998.45166,220.05626,-1715.9434,984.7655,100.19567,-1707.2131,985.5288
180.2582886666667,-1713.1919696969699,984.8033848484849,180.4538524395923,-1713.5734497946096,984.5365329923213,181.68063,-1693.5089,982.78125,170.7481,-1872.3158,998.4236,220.07014,-1715.9773,984.7463,100.203384,-1707.2384,985.5076
180.2683778787879,-1713.208534848485,984.7862734848486,180.45769776890054,-1713.60696520466,984.5242543808655,181.68617,-1693.5024,982.7672,170.75858,-1872.3379,998.39667,220.08508,-1716.0105,984.72864,100.21208,-1707.263,985.4882
180.27930212121217,-1713.2257060606062,984.7703131818182,180.46220352966026,-1713.6400798270604,984.5121647473925,181.69211,-1693.4989,982.7535,170.77013,-1872.3593,998.37103,220.10112,-1716.0431,984.7126,100.22183,-1707.2865,985.47046
180.29109863636364,-1713.2436590909092,984.7554212121213,180.46743484098752,-1713.6727126120459,984.499998624015,181.69849,-1693.4988,982.7399,170.78279,-1872.3798,998.3466,220.11829,-1716.075,984.6982,100.23268,-1707.3093,985.4544
180.3038237878788,-1713.2623000000003,984.7416833333334,180.47347039416596,-1713.7046545930148,984.4878518376606,181.70538,-1693.5021,982.7265,170.79659,-1872.3995,998.3236,220.13664,-1716.106,984.6855,100.24468,-1707.3313,985.4401
180.31753533333335,-1713.2817560606063,984.7290698484849,180.4803701222205,-1713.736196923623,984.4757389987551,181.71286,-1693.5088,982.7133,170.81158,-1872.4186,998.30194,220.1562,-1716.1364,984.67444,100.257904,-1707.3525,985.42755
180.3322922727273,-1713.3021484848487,984.717625,180.48823782812366,-1713.7672495552833,984.4635970601046,181.72101,-1693.5193,982.70026,170.82782,-1872.437,998.2817,220.17702,-1716.1661,984.66516,100.27239,-1707.373,985.41675
180.3481717878788,-1713.3233484848486,984.7073234848488,180.49715112948246,-1713.797795405741,984.4514687374016,181.72993,-1693.5333,982.6874,170.84535,-1872.4547,998.2629,220.19916,-1716.1951,984.6576,100.288216,-1707.3927,985.40765
180.36522212121213,-1713.3454924242426,984.6981472727274,180.50719000314126,-1713.8279415121492,984.4392413366651,181.7397,-1693.551,982.6746,170.86421,-1872.4718,998.24554,220.22264,-1716.2235,984.6518,100.30543,-1707.4117,985.4003
180.3835204848485,-1713.3685803030305,984.6901977272728,180.51844789297274,-1713.857566887817,984.4271381691033,181.75041,-1693.5724,982.6621,170.88446,-1872.4883,998.2298,220.24753,-1716.2512,984.6478,100.324104,-1707.4302,985.39465
180.403142,-1713.3925636363638,984.6834401515152,180.5310152310558,-1713.8868716217823,984.4150824372058,181.76218,-1693.5973,982.6498,170.90616,-1872.5043,998.2155,220.27388,-1716.2784,984.6456,100.344284,-1707.4479,985.39075
180.42416484848485,-1713.41751969697,984.6779121212122,180.54501376358132,-1713.9157485635278,984.403131300715,181.77512,-1693.6259,982.63776,170.92937,-1872.5199,998.2029,220.30174,-1716.305,984.64526,100.36605,-1707.465,985.3885
180.44665484848485,-1713.443390909091,984.673543939394,180.56049745168775,-1713.944189378898,984.3912068603173,181.7893,-1693.658,982.6259,170.95412,-1872.535,998.1918,220.33118,-1716.331,984.6467,100.38946,-1707.4816,985.3879
180.47068345454548,-1713.4701924242427,984.6704418181819,180.5775853499519,-1713.9723729022267,984.3795443579411,181.80487,-1693.6934,982.61444,170.98047,-1872.5498,998.1823,220.36221,-1716.3566,984.65,100.414566,-1707.4977,985.3889
180.49633151515155,-1713.4978439393942,984.6685657575758,180.59637292256096,-1714.0001908534273,984.368102950731,181.82193,-1693.732,982.60333,171.00848,-1872.5642,998.17444,220.3949,-1716.3817,984.6551,100.44144,-1707.5133,985.3915
180.5236772727273,-1713.5264303030303,984.6679303030304,180.61696602149934,-1714.0277400058337,984.3569165344209,181.84059,-1693.7739,982.5926,171.03822,-1872.5784,998.1683,220.42932,-1716.4064,984.66205,100.47012,-1707.5284,985.3956
180.5527801818182,-1713.55596969697,984.6685454545456,180.63945225996054,-1714.0550050049392,984.3460157695471,181.86095,-1693.819,982.5823,171.06973,-1872.5923,998.1637,220.46548,-1716.4307,984.6708,100.500694,-1707.5433,985.4013
180.58373143939394,-1713.5862742424245,984.670390909091,180.6639371336397,-1714.0819722486103,984.3354668494828,181.88315,-1693.8668,982.57245,171.10306,-1872.6062,998.16077,220.50346,-1716.4546,984.68134,100.533195,-1707.5579,985.40845
180.61658181818183,-1713.617446969697,984.6734469696971,180.690486324374,-1714.1088247368546,984.3253145932337,181.90726,-1693.9175,982.5631,171.13826,-1872.6199,998.1595,220.54329,-1716.4783,984.6936,100.56768,-1707.572,985.417
180.65139969696972,-1713.649381818182,984.6778116666667,180.7192076930792,-1714.1354574691509,984.3157084009531,181.93341,-1693.9707,982.5544,171.1754,-1872.6334,998.15985,220.58499,-1716.5017,984.7077,100.6042,-1707.586,985.42694
180.6882587878788,-1713.682156060606,984.6833803030304,180.75018881461492,-1714.1619679610797,984.3065165537535,181.9617,-1694.0264,982.5462,171.2145,-1872.6471,998.1618,220.62863,-1716.5249,984.7236,100.6428,-1707.6,985.4381
180.72720545454547,-1713.7156878787882,984.6901430303031,180.78349810062954,-1714.188418340105,984.2978907724224,181.99222,-1694.0844,982.53864,171.2556,-1872.6608,998.1654,220.67422,-1716.548,984.7411,100.68352,-1707.6138,985.45056
180.76829469696972,-1713.749863636364,984.6981483333334,180.81920142071326,-1714.2147082013425,984.2899108827601,182.02505,-1694.1444,982.5318,171.29875,-1872.6744,998.1706,220.7218,-1716.5709,984.7603,100.7264,-1707.6276,985.46423
180.81158590909092,-1713.784748484849,984.7073156060608,180.8574063439228,-1714.241027915491,984.2825476533893,182.06032,-1694.2063,982.52563,171.344,-1872.6884,998.17737,220.77138,-1716.5938,984.7811,100.77147,-1707.6414,985.479
180.85710696969699,-1713.8202121212123,984.7176962121214,180.89814135216926,-1714.2672538563183,984.2759196868525,182.09807,-1694.2699,982.52026,171.39134,-1872.7024,998.18567,220.82298,-1716.6166,984.8035,100.81876,-1707.6552,985.4949
180.90490103030305,-1713.85626969697,984.729228787879,180.94146022991424,-1714.2934838984972,984.2700571524847,182.13837,-1694.335,982.5157,171.44083,-1872.7166,998.1955,220.87663,-1716.6394,984.82745,100.868286,-1707.6692,985.5117
180.9549990909091,-1713.8927606060606,984.7418893939395,180.98741417754664,-1714.3196887536462,984.2650245757482,182.1813,-1694.4012,982.512,171.49246,-1872.7311,998.2068,220.93233,-1716.6622,984.8528,100.92006,-1707.6833,985.5295
181.0074290909091,-1713.9297818181817,984.7556715151516,181.03605039247012,-1714.3460594882954,984.2608790628838,182.22693,-1694.4684,982.5092,171.54625,-1872.7458,998.21954,220.99008,-1716.6852,984.8796,100.97409,-1707.6978,985.5481
181.06219151515154,-1713.9670606060608,984.770531818182,181.0873831004816,-1714.3722784298798,984.2576991873843,182.27527,-1694.5363,982.5074,171.6022,-1872.761,998.2337,221.04987,-1716.7081,984.90765,101.03038,-1707.7124,985.5675
181.1192951515152,-1714.0046954545455,984.786434848485,181.14141778459427,-1714.39873068831,984.2555295004839,182.32637,-1694.6046,982.5066,171.66032,-1872.7765,998.24915,221.11168,-1716.7313,984.9369,101.08892,-1707.7274,985.58765
181.17874363636366,-1714.0425393939395,984.8033778787881,181.19818075275103,-1714.425205885403,984.2544025705604,182.38026,-1694.6731,982.50684,171.72058,-1872.7924,998.2659,221.1755,-1716.7546,984.96735,101.1497,-1707.7428,985.60846
181.24053325757578,-1714.0805045454547,984.8213181818182,181.2576427521704,-1714.451873653362,984.2544858262565,182.43695,-1694.7413,982.50824,171.78297,-1872.8086,998.284,221.24133,-1716.7782,984.99884,101.212685,-1707.7587,985.6298
